Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","27","Bulgarie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","20081","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","559","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","239","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","179","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4","","Donnée officielle"
"TA","Animaux vivants","35","Cabo Verde","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","141","*","Chiffre non officiel"
"TA","Animaux vivants","115","Cambodge","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","136","*","Chiffre non officiel"
"TA","Animaux vivants","115","Cambodge","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","32","Cameroun","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1696","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","32","Cameroun","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","33","Canada","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","60652","","Donnée officielle"
"TA","Animaux vivants","33","Canada","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","5874","","Donnée officielle"
"TA","Animaux vivants","40","Chili","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","385","*","Chiffre non officiel"
"TA","Animaux vivants","40","Chili","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","96","Chine - RAS de Hong-Kong","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3679","","Donnée officielle"
"TA","Animaux vivants","96","Chine - RAS de Hong-Kong","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","128","Chine - RAS de Macao","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2700","F","Estimation FAO"
"TA","Animaux vivants","128","Chine - RAS de Macao","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","41","Chine, continentale","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3190","","Donnée officielle"
"TA","Animaux vivants","41","Chine, continentale","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","7168","","Donnée officielle"
"TA","Animaux vivants","214","Chine, Taiwan Province de","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","298","","Donnée officielle"
"TA","Animaux vivants","214","Chine, Taiwan Province de","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","50","Chypre","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","347","","Donnée officielle"
"TA","Animaux vivants","50","Chypre","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","44","Colombie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","713","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","1986","","Donnée officielle"
"TA","Animaux vivants","45","Comores","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","22","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","46","Congo","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","32","*","Chiffre non officiel"
"TA","Animaux vivants","48","Costa Rica","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1214","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","3441","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","421","*","Chiffre non officiel"
